stop_id,stop_name,stop_lat,stop_lon,platform_code,parent_station,location_type
stops:007015400,London Saint Pancras International,51.5310399,-0.1260606,,,1
stops:007015400:0,London Saint Pancras International,51.5310399,-0.1260606,,stops:007015400,0
stops:007015440,Ebbsfleet International,51.44304,0.32107,,,1
stops:007015440:0,Ebbsfleet International,51.44304,0.32107,,stops:007015440,0
stops:008008094,Düsseldorf Hbf,51.219962,6.794319,,,1
stops:008008094:0,Düsseldorf Hbf,51.219962,6.794319,,stops:008008094,0
stops:008010184,Essen Hbf,51.451355,7.014793,,,1
stops:008010184:0,Essen Hbf,51.451355,7.014793,,stops:008010184,0
stops:008010316,Duisburg Hbf,51.42978,6.7759037,,,1
stops:008010316:0,Duisburg Hbf,51.42978,6.7759037,,stops:008010316,0
stops:008011068,Frankfurt am Main Hbf,50.1071318,8.6653708,,,1
stops:008011068:0,Frankfurt am Main Hbf,50.1071318,8.6653708,,stops:008011068,0
stops:008011090,Frankfurt am Main Flughafen,50.051696,8.569853,,,1
stops:008011090:0,Frankfurt am Main Flughafen,50.051696,8.569853,,stops:008011090,0
stops:008015345,Aachen Hbf,50.770832,6.105275,,,1
stops:008015345:0,Aachen Hbf,50.770832,6.105275,,stops:008015345,0
stops:008015458,Köln Hbf,50.942721,6.958823,,,1
stops:008015458:0,Köln Hbf,50.942721,6.958823,,stops:008015458,0
stops:008015588,Siegburg,50.793916,7.203029,,,1
stops:008015588:0,Siegburg,50.793916,7.203029,,stops:008015588,0
stops:008032572,Limburg Süd,50.3825,8.096112,,,1
stops:008032572:0,Limburg Süd,50.3825,8.096112,,stops:008032572,0
stops:008039904,Düsseldorf Flughafen Hbf,51.292008,6.786837,,,1
stops:008039904:0,Düsseldorf Flughafen Hbf,51.292008,6.786837,,stops:008039904,0
stops:008200100,Lëtzebuerg,49.599996,6.133331,,,1
stops:008200100:0,Lëtzebuerg,49.599996,6.133331,,stops:008200100,0
stops:008200110,Mersch,49.748893,6.106111,,,1
stops:008200110:0,Mersch,49.748893,6.106111,,stops:008200110,0
stops:008200120,Ettelbréck,49.847496,6.104169,,,1
stops:008200120:0,Ettelbréck,49.847496,6.104169,,stops:008200120,0
stops:008200130,Kautebaach,49.952777,6.020003,,,1
stops:008200130:0,Kautebaach,49.952777,6.020003,,stops:008200130,0
stops:008200132,Wilwerwiltz,49.988887,5.999166,,,1
stops:008200132:0,Wilwerwiltz,49.988887,5.999166,,stops:008200132,0
stops:008200133,Drauffelt,50.017778,6.006106,,,1
stops:008200133:0,Drauffelt,50.017778,6.006106,,stops:008200133,0
stops:008200134,Clervaux,50.054724,6.031393,,,1
stops:008200134:0,Clervaux,50.054724,6.031393,,stops:008200134,0
stops:008200136,Troisvierges,50.121109,6.000281,,,1
stops:008200136:0,Troisvierges,50.121109,6.000281,,stops:008200136,0
stops:008200510,Bertrange Strassen,49.613002,6.060601,,,1
stops:008200510:0,Bertrange Strassen,49.613002,6.060601,,stops:008200510,0
stops:008200516,Mamer,49.625663,6.02014,,,1
stops:008200516:0,Mamer,49.625663,6.02014,,stops:008200516,0
stops:008200518,Kapellen,49.644996,5.990833,,,1
stops:008200518:0,Kapellen,49.644996,5.990833,,stops:008200518,0
stops:008200520,Klengbetten,49.646389,5.916385,,,1
stops:008200520:0,Klengbetten,49.646389,5.916385,,stops:008200520,0
stops:008200940,Rodange,49.551283,5.845028,,,1
stops:008200940:0,Rodange,49.551283,5.845028,,stops:008200940,0
stops:008210014,Mamer-Lycée,49.618415,6.02968,,,1
stops:008210014:0,Mamer-Lycée,49.618415,6.02968,,stops:008210014,0
stops:008400058,Amsterdam CS,52.379128,4.900272,,,1
stops:008400058:0,Amsterdam CS,52.379128,4.900272,,stops:008400058,0
stops:008400180,Dordrecht,51.799998,4.666668,,,1
stops:008400180:0,Dordrecht,51.799998,4.666668,,stops:008400180,0
stops:008400219,Eijsden,50.772135,5.709786,,,1
stops:008400219:0,Eijsden,50.772135,5.709786,,stops:008400219,0
stops:008400280,Den Haag HS,52.083329,4.299999,,,1
stops:008400280:0,Den Haag HS,52.083329,4.299999,,stops:008400280,0
stops:008400424,Maastricht,50.85,5.683331,,,1
stops:008400424:0,Maastricht,50.85,5.683331,,stops:008400424,0
stops:008400426,Maastricht Randwyck,50.838502,5.716707,,,1
stops:008400426:0,Maastricht Randwyck,50.838502,5.716707,,stops:008400426,0
stops:008400526,Roosendaal,51.533333,4.466667,,,1
stops:008400526:0,Roosendaal,51.533333,4.466667,,stops:008400526,0
stops:008400530,Rotterdam CS,51.925093,4.469424,,,1
stops:008400530:0,Rotterdam CS,51.925093,4.469424,,stops:008400530,0
stops:008400561,Schiphol,52.308294,4.762268,,,1
stops:008400561:0,Schiphol,52.308294,4.762268,,stops:008400561,0
stops:008500010,Basel,47.547408,7.590716,,,1
stops:008500010:0,Basel,47.547408,7.590716,,stops:008500010,0
stops:008711184,Marne-la-Vallée - Chessy,48.868256,2.782184,,,1
stops:008711184:0,Marne-la-Vallée - Chessy,48.868256,2.782184,,stops:008711184,0
stops:008718201,Colmar,48.083335,7.366668,,,1
stops:008718201:0,Colmar,48.083335,7.366668,,stops:008718201,0
stops:008718206,Mulhouse,47.749998,7.333336,,,1
stops:008718206:0,Mulhouse,47.749998,7.333336,,stops:008718206,0
stops:008718213,Saint-Louis-Haut-Rhin,47.5907,7.555316,,,1
stops:008718213:0,Saint-Louis-Haut-Rhin,47.5907,7.555316,,stops:008718213,0
stops:008719100,Thionville,49.366663,6.166663,,,1
stops:008719100:0,Thionville,49.366663,6.166663,,stops:008719100,0
stops:008719203,Metz,49.13333,6.166663,,,1
stops:008719203:0,Metz,49.13333,6.166663,,stops:008719203,0
stops:008721202,Strasbourg,48.585437,7.733905,,,1
stops:008721202:0,Strasbourg,48.585437,7.733905,,stops:008721202,0
stops:008721222,Saverne,48.744798,7.362255,,,1
stops:008721222:0,Saverne,48.744798,7.362255,,stops:008721222,0
stops:008721405,Selestat,48.26667,7.449999,,,1
stops:008721405:0,Selestat,48.26667,7.449999,,stops:008721405,0
stops:008722326,Lille Europe,50.636108,3.071516,,,1
